,maximum,minimum
3HAD160_REV_G1G01-4440-MONOMER,0.0,0.0
3HAD160_FWD_G1G01-4440-MONOMER,0.015250415746979678,0.0
3HAD160_REV_G1G01-1699-MONOMER,0.0,0.0
3HAD160_FWD_G1G01-1699-MONOMER,0.015232941298828127,0.0
13DAMPPabcpp_REV_CPLX_dummy,0.0,0.0
13DAMPPabcpp_FWD_CPLX_dummy,2.5784575189707727e-58,0.0
13DAMPPtex_REV_CPLX_dummy,0.09033546854716673,0.0
13DAMPPtex_FWD_CPLX_dummy,0.09033546854716673,0.0
15DAPabcpp_REV_CPLX_dummy,0.0,0.0
15DAPabcpp_FWD_CPLX_dummy,0.0,0.0
1P2CBXLCYCL_REV_SPONT,999999.0,0.0
1P2CBXLCYCL_FWD_SPONT,999999.0,1.0499752820656107e-28
1P2CBXLR_REV_G1G01-3828-MONOMER,0.0,0.0
1P2CBXLR_FWD_G1G01-3828-MONOMER,1.6224941014275693e-24,0.0
1PPDCRc_REV_G1G01-3828-MONOMER,0.0,0.0
1PPDCRc_FWD_G1G01-3828-MONOMER,2.319724638905265e-05,0.0
1PQQS_REV_CPLX_dummy,0.09033546854716673,0.0
1PQQS_FWD_CPLX_dummy,0.09044953449139237,0.00011406282834447833
1PY4h3cAH_REV_G1G01-1344-MONOMER,0.0,0.0
1PY4h3cAH_FWD_G1G01-1344-MONOMER,1.4238663050963384e-53,0.0
23CTI1_REV_CPLX-9268,0.0,0.0
23CTI1_FWD_CPLX-9268,0.00012342773593043623,0.0
23CTI2_REV_CPLX-9268,0.0,0.0
23CTI2_FWD_CPLX-9268,1.1616994430844098e-53,0.0
23CTI3_REV_CPLX-9268,0.0,0.0
23CTI3_FWD_CPLX-9268,2.0234534792882305e-23,-3.38715424310693e-24
24DECOAR_REV_G1G01-2142-MONOMER,0.0,0.0
24DECOAR_FWD_G1G01-2142-MONOMER,2.787638786038366e-23,0.0
25DKGLCNt2rpp_REV_CPLX_dummy,0.09033546854716673,0.0
25DKGLCNt2rpp_FWD_CPLX_dummy,0.09033546854716673,-2.8426158203323773e-24
25DKGLCNtex_REV_CPLX_dummy,0.09033546854716673,0.0
25DKGLCNtex_FWD_CPLX_dummy,0.09033546854716673,0.0
26DAHtex_REV_CPLX_dummy,0.09033546854716673,0.0
26DAHtex_FWD_CPLX_dummy,0.09033546854716673,0.0
2AACLPGT160_REV_G1G01-1797-MONOMER,0.0,0.0
2AACLPGT160_FWD_G1G01-1797-MONOMER,2.8249866663683317e-05,0.0
2AACLPGT161_REV_G1G01-1797-MONOMER,0.0,0.0
2AACLPGT161_FWD_G1G01-1797-MONOMER,2.8321590381084886e-05,0.0
2AACLPGT180_REV_G1G01-1797-MONOMER,0.0,0.0
2AACLPGT180_FWD_G1G01-1797-MONOMER,2.035159314816872e-05,0.0
2AACLPGT181_REV_G1G01-1797-MONOMER,0.0,0.0
2AACLPGT181_FWD_G1G01-1797-MONOMER,2.0403638239739997e-05,0.0
2AACLPPEAT160_REV_G1G01-1797-MONOMER,0.0,0.0
2AACLPPEAT160_FWD_G1G01-1797-MONOMER,2.8249866663683317e-05,0.0
2AACLPPEAT161_REV_G1G01-1797-MONOMER,0.0,0.0
2AACLPPEAT161_FWD_G1G01-1797-MONOMER,2.8321590381084886e-05,0.0
2AACLPPEAT180_REV_G1G01-1797-MONOMER,0.0,0.0
2AACLPPEAT180_FWD_G1G01-1797-MONOMER,2.035159314816872e-05,0.0
2AACLPPEAT181_REV_G1G01-1797-MONOMER,0.0,0.0
2AACLPPEAT181_FWD_G1G01-1797-MONOMER,2.0403638239739997e-05,0.0
2AGPE160tipp_REV_G1G01-1797-MONOMER,0.0,0.0
2AGPE160tipp_FWD_G1G01-1797-MONOMER,2.8249866663683317e-05,-1.250112960629519e-23
2AGPE161tipp_REV_G1G01-1797-MONOMER,0.0,0.0
2AGPE161tipp_FWD_G1G01-1797-MONOMER,2.8321590381084886e-05,-1.2501129606300579e-23
2AGPE180tipp_REV_G1G01-1797-MONOMER,0.0,0.0
2AGPE180tipp_FWD_G1G01-1797-MONOMER,2.035159314816872e-05,0.0
2AGPE181tipp_REV_G1G01-1797-MONOMER,0.0,0.0
2AGPE181tipp_FWD_G1G01-1797-MONOMER,2.0403638239739997e-05,-1.0281660951648279e-23
2AGPG160tipp_REV_G1G01-1797-MONOMER,0.0,0.0
2AGPG160tipp_FWD_G1G01-1797-MONOMER,2.8249866663683317e-05,-9.31813690681279e-24
2AGPG161tipp_REV_G1G01-1797-MONOMER,0.0,0.0
2AGPG161tipp_FWD_G1G01-1797-MONOMER,2.8321590381084883e-05,-9.31813690681051e-24
2AGPG180tipp_REV_G1G01-1797-MONOMER,0.0,0.0
2AGPG180tipp_FWD_G1G01-1797-MONOMER,2.035159314816872e-05,0.0
2AGPG181tipp_REV_G1G01-1797-MONOMER,0.0,0.0
2AGPG181tipp_FWD_G1G01-1797-MONOMER,2.0403638239739997e-05,-7.098668252162421e-24
2DHGLCK_REV_G1G01-3609-MONOMER,0.0,0.0
2DHGLCK_FWD_G1G01-3609-MONOMER,0.00017532517176171487,0.0
2DHGLCNkt_tpp_REV_G1G01-3608-MONOMER,0.0,0.0
2DHGLCNkt_tpp_FWD_G1G01-3608-MONOMER,0.00017532517176171487,-1.5678605182452424e-23
2DHGLCNtex_REV_CPLX_dummy,0.09033546854716673,0.0
2DHGLCNtex_FWD_CPLX_dummy,0.09033546854716673,0.0
2PQQS_REV_CPLX_dummy,0.09033546854716673,0.0
2PQQS_FWD_CPLX_dummy,0.09044953449139237,0.00011406282834447833
34DHCINMtex_REV_CPLX_dummy,0.09033546854716673,0.0
34DHCINMtex_FWD_CPLX_dummy,0.09033546854716673,0.0
34DHCINMtpp_REV_CPLX_dummy,0.09033546854716673,0.0
34DHCINMtpp_FWD_CPLX_dummy,0.09033546854716673,0.0
34DHPHEtex_REV_CPLX_dummy,0.09033546854716673,0.0
34DHPHEtex_FWD_CPLX_dummy,0.09033546854716673,1.066880216562142e-35
34DHPHEtpp_REV_CPLX_dummy,0.0,0.0
34DHPHEtpp_FWD_CPLX_dummy,1.3370661870081043e-24,-2.813362124666551e-24
34HPPOR_REV_G1G01-3666-MONOMER,0.0,0.0
34HPPOR_FWD_G1G01-3666-MONOMER,1.0650917314479574e-05,0.0
3AIBT2_REV_G1G01-647-MONOMER,0.01534376573532807,0.0
3AIBT2_FWD_G1G01-647-MONOMER,0.015343765735328072,0.0
3HAACOAT100_REV_G1G01-1499-MONOMER,0.10392538029226311,0.0
